timestamp	endpoint	ttl_before	ttl_after	p95_before	p95_after	hit_rate	status
2026-04-26T16:56:13	paper:round_trips	137	120	1	2	0.0	discard
2026-04-26T16:57:13	paper:snapshots	300	352	1	2	0.0	discard
2026-04-26T16:58:13	settings:full	300	600	1	2	0.0	discard
2026-04-26T16:59:14	paper:portfolio	60	62	1	2	0.0	discard
2026-04-26T17:00:14	paper:portfolio	60	51	1	2	0.0	discard
2026-04-26T17:01:14	reports:cost-summary	120	109	1	2	0.0	discard
2026-04-26T17:02:14	paper:gate	120	134	1	2	0.0	discard
2026-04-26T17:03:14	settings:full	300	600	1	2	0.0	discard
2026-04-26T17:04:14	backtest:experiments	10	10	1	2	0.0	discard
2026-04-26T17:05:14	paper:performance	120	107	1	2	0.0	discard
2026-04-26T17:06:14	paper:portfolio	60	53	1	2	0.0	discard
2026-04-26T17:07:14	settings:models	3600	3019	1	2	0.0	discard
2026-04-26T17:08:14	paper:round_trips	137	273	1	2	0.0	discard
2026-04-26T17:09:14	reports:list	120	120	1	2	0.0	discard
2026-04-26T17:10:14	reports:list	120	127	1	1	0.0	keep
2026-04-26T17:11:14	paper:performance	120	132	1	2	0.0	discard
2026-04-26T17:12:14	paper:reconciliation	600	614	1	2	0.0	discard
2026-04-26T17:13:14	paper:portfolio	60	56	1	2	0.0	discard
2026-04-26T17:14:14	paper:reconciliation	600	567	1	2	0.0	discard
2026-04-26T17:15:14	reports:cost-summary	120	107	1	2	0.0	discard
2026-04-26T17:16:14	paper:trades	120	240	1	2	0.0	discard
2026-04-26T17:17:14	paper:performance	120	113	1	2	0.0	discard
2026-04-26T17:18:14	paper:trades	120	122	1	2	0.0	discard
2026-04-26T17:19:14	paper:mfe_mae_scatter	120	109	1	2	0.0	discard
2026-04-26T17:20:14	reports:cost-summary	120	109	1	2	0.0	discard
2026-04-26T17:21:14	paper:performance	120	240	1	2	0.0	discard
2026-04-26T17:22:14	paper:gate	120	114	1	2	0.0	discard
2026-04-26T17:23:14	paper:metrics_v2	120	116	1	2	0.0	discard
2026-04-26T17:24:14	reports:ticker	120	125	1	2	0.0	discard
2026-04-26T17:25:14	paper:status	60	66	1	2	0.0	discard
2026-04-26T17:26:14	reports:cost-history	300	600	1	2	0.0	discard
2026-04-26T17:27:14	reports:list	127	110	1	2	0.0	discard
2026-04-26T17:28:14	paper:mfe_mae_scatter	120	101	1	2	0.0	discard
2026-04-26T17:29:14	paper:gate	120	135	1	2	0.0	discard
2026-04-26T17:30:14	settings:full	300	258	1	3	0.0	discard
2026-04-26T17:31:14	backtest:experiments	10	20	1	2	0.0	discard
2026-04-26T17:32:14	reports:list	127	121	1	2	0.0	discard
2026-04-26T17:33:14	settings:full	300	284	1	2	0.0	discard
2026-04-26T17:34:14	paper:performance	120	126	1	2	0.0	discard
2026-04-26T17:35:14	paper:snapshots	300	244	1	2	0.0	discard
2026-04-26T17:36:14	paper:performance	120	240	1	2	0.0	discard
2026-04-26T17:37:14	backtest:experiments	10	11	1	2	0.0	discard
2026-04-26T17:38:14	settings:models	3600	3600	1	2	0.0	discard
2026-04-26T17:39:14	reports:list	127	115	1	2	0.0	discard
2026-04-26T17:40:14	paper:gate	120	143	1	2	0.0	discard
2026-04-26T17:41:14	paper:metrics_v2	120	240	1	2	0.0	discard
2026-04-26T17:42:14	paper:metrics_v2	120	108	1	2	0.0	discard
2026-04-26T17:43:14	paper:status	60	63	1	2	0.0	discard
2026-04-26T17:44:14	backtest:best	30	25	1	2	0.0	discard
2026-04-26T17:45:14	backtest:experiments	10	9	1	2	0.0	discard
2026-04-26T17:46:14	reports:cost-summary	120	240	1	2	0.0	discard
2026-04-26T17:47:14	paper:gate	120	121	1	2	0.0	discard
2026-04-26T17:48:14	paper:snapshots	300	351	1	2	0.0	discard
2026-04-26T17:49:14	reports:cost-history	300	319	1	2	0.0	discard
2026-04-26T17:50:14	paper:status	60	71	1	2	0.0	discard
2026-04-26T17:51:14	paper:reconciliation	600	1200	1	2	0.0	discard
2026-04-26T17:52:14	reports:ticker	120	101	1	2	0.0	discard
2026-04-26T17:53:14	reports:cost-history	300	263	1	2	0.0	discard
2026-04-26T17:54:14	reports:cost-summary	120	124	1	2	0.0	discard
2026-04-26T17:55:14	reports:cost-summary	120	120	1	2	0.0	discard
2026-04-26T17:56:14	backtest:experiments	10	20	1	2	0.0	discard
2026-04-26T17:57:14	paper:round_trips	137	139	1	2	0.0	discard
2026-04-26T17:58:14	paper:trades	120	125	1	2	0.0	discard
2026-04-26T17:59:14	paper:snapshots	300	359	1	2	0.0	discard
2026-04-26T18:00:14	paper:performance	120	121	1	2	0.0	discard
2026-04-26T18:01:14	backtest:experiments	10	20	1	2	0.0	discard
2026-04-26T18:02:14	paper:reconciliation	600	556	1	2	0.0	discard
2026-04-26T18:03:14	reports:list	127	114	1	2	0.0	discard
2026-04-26T18:04:14	settings:models	3600	3041	1	2	0.0	discard
2026-04-26T18:05:14	paper:snapshots	300	354	1	2	0.0	discard
2026-04-26T18:06:14	backtest:best	30	60	1	2	0.0	discard
2026-04-26T18:07:14	paper:performance	120	104	1	2	0.0	discard
2026-04-26T18:08:14	settings:models	3600	3600	1	2	0.0	discard
2026-04-26T18:09:14	backtest:experiments	10	9	1	2	0.0	discard
2026-04-26T18:10:14	paper:snapshots	300	326	1	2	0.0	discard
2026-04-26T18:11:14	settings:models	3600	3600	1	2	0.0	discard
2026-04-26T18:12:14	reports:ticker	120	123	1	2	0.0	discard
2026-04-26T18:13:14	paper:mfe_mae_scatter	120	108	1	2	0.0	discard
2026-04-26T18:14:14	settings:full	300	270	1	2	0.0	discard
2026-04-26T18:15:14	paper:trades	120	142	1	2	0.0	discard
2026-04-26T18:16:14	paper:status	60	120	1	2	0.0	discard
2026-04-26T18:17:14	settings:models	3600	3600	1	2	0.0	discard
2026-04-26T18:18:14	reports:ticker	120	128	1	2	0.0	discard
2026-04-26T18:19:14	paper:gate	120	129	1	2	0.0	discard
2026-04-26T18:20:14	reports:ticker	120	131	1	2	0.0	discard
2026-04-26T18:21:14	paper:status	60	120	1	2	0.0	discard
2026-04-26T18:22:14	reports:list	127	123	1	2	0.0	discard
2026-04-26T18:23:14	paper:portfolio	60	63	1	2	0.0	discard
2026-04-26T18:24:14	backtest:experiments	10	11	1	2	0.0	discard
2026-04-26T18:25:14	paper:status	60	62	1	2	0.0	discard
2026-04-26T18:26:14	reports:cost-summary	120	240	1	2	0.0	discard
2026-04-26T18:27:14	paper:snapshots	300	308	1	2	0.0	discard
2026-04-26T18:28:14	paper:status	60	68	1	2	0.0	discard
2026-04-26T18:29:14	paper:gate	120	133	1	3	0.0	discard
2026-04-26T18:30:14	paper:portfolio	60	61	1	1642	0.0	discard
2026-04-26T18:31:14	reports:list	127	254	1	8	0.0	discard
